1.csv;BIOS и иное встроенное программное обеспечение
2.csv;Встроенное программное обеспечение телекоммуникационного оборудования
3.csv;Операционные системы
4.csv;Утилиты и Драйверы
5.csv;Средства обеспечения облачных и распределенных вычислений, средства виртуализации и системы хранения данных
6.csv;Серверное и связующее программное обеспечение
7.csv;Системы управления базами данных
8.csv;Системы мониторинга и управления
9.csv;Средства обеспечения информационной безопасности
10.csv;Средства подготовки исполнимого кода
11.csv;Средства версионного контроля исходного кода
12.csv;Библиотеки подпрограмм (SDK)
13.csv;Среды разработки, тестирования и отладки
14.csv;Системы анализа исходного кода на закладки и уязвимости
15.csv;Прикладное программное обеспечение общего назначения
16.csv;Офисные приложения
17.csv;Поисковые системы
18.csv;Лингвистическое программное обеспечение
19.csv;Системы управления проектами, исследованиями, разработкой, проектированием и внедрением
20.csv;Системы управления процессами организации
21.csv;Системы сбора, хранения, обработки, анализа, моделирования и визуализации массивов данных
22.csv;Информационные системы для решения специфических отраслевых задач
23.csv;Геоинформационные и навигационные системы (GIS)
24.csv;Специализированное ПО органов исполнительной власти Российской Федерации, государственных корпораций, компаний и юридических лиц с преимущественным участием Российской Федерации для внутреннего использования
