Adygeja_Resp;Республика Адыгея
Altaj_Resp;Республика Алтай
Altajskij_kraj;Алтайский край
Amurskaja_obl;Амурская область
Arkhangelskaja_obl;Архангельская область
Astrakhanskaja_obl;Астраханская область
Bajkonur_g;Байконур (город)
Bashkortostan_Resp;Республика Башкортостан
Belgorodskaja_obl;Белгородская область
Brjanskaja_obl;Брянская область
Burjatija_Resp;Республика Бурятия
Chechenskaja_Resp;Чеченская Республика
Cheljabinskaja_obl;Челябинская область
Chukotskij_AO;Чукотский автономный округ
Chuvashskaja_Resp;Чувашская Республика
Dagestan_Resp;Республика Дагестан
Evrejskaja_Aobl;Еврейская автономная область
Ingushetija_Resp;Республика Ингушетия
Irkutskaja_obl;Иркутская область
Ivanovskaja_obl;Ивановская область
Jamalo-Neneckij_AO;Ямало-Ненецкий автономный округ
Jaroslavskaja_obl;Ярославская область
Kabardino-Balkarskaja_Resp;Кабардино-Балкарская Республика
Kaliningradskaja_obl;Калининградская область
Kalmykija_Resp;Республика Калмыкия
Kaluzhskaja_obl;Калужская область
Kamchatskij_kraj;Камчатский край
Karachaevo-Cherkesskaja_Resp;Карачаево-Черкесская Республика
Karelija_Resp;Республика Карелия
Kemerovskaja_obl;Кемеровская область
Khabarovskij_kraj;Хабаровский край
Khakasija_Resp;Республика Хакасия
Khanty-Mansijskij_AO-Jugra_AO;Ханты-Мансийский автономный округ-Югра
Kirovskaja_obl;Кировская область
Komi_Resp;Республика Коми
Kostromskaja_obl;Костромская область
Krasnodarskij_kraj;Краснодарский край
Krasnojarskij_kraj;Красноярский край
Krim_Resp;Республика Крым
Kurganskaja_obl;Курганская область
Kurskaja_obl;Курская область
Leningradskaja_obl;Ленинградская область
Lipeckaja_obl;Липецкая область
Magadanskaja_obl;Магаданская область
Marij_El_Resp;Республика Марий Эл
Mordovija_Resp;Республика Мордовия
Moskovskaja_obl;Московская область
Moskva;Москва
Murmanskaja_obl;Мурманская область
Neneckij_AO;Ненецкий автономный округ
Nizhegorodskaja_obl;Нижегородская область
Novgorodskaja_obl;Новгородская область
Novosibirskaja_obl;Новосибирская область
Omskaja_obl;Омская область
Orenburgskaja_obl;Оренбургская область
Orlovskaja_obl;Орловская область
Penzenskaja_obl;Пензенская область
Permskij_kraj;Пермский край
Primorskij_kraj;Приморский край
Pskovskaja_obl;Псковская область
Rjazanskaja_obl;Рязанская область
Rostovskaja_obl;Ростовская область
Sakha_Jakutija_Resp;Республика Саха (Якутия)
Sakhalinskaja_obl;Сахалинская область
Samarskaja_obl;Самарская область
Sankt-Peterburg;Санкт-Петербург
Saratovskaja_obl;Саратовская область
Sevastopol_g;Севастополь
Severnaja_Osetija-Alanija_Resp;Республика Северная Осетия-Алания
Smolenskaja_obl;Смоленская область
Stavropolskij_kraj;Ставропольский край
Sverdlovskaja_obl;Свердловская область
Tambovskaja_obl;Тамбовская область
Tatarstan_Resp;Республика Татарстан
Tjumenskaja_obl;Тюменская область
Tomskaja_obl;Томская область
Tulskaja_obl;Тульская область
Tverskaja_obl;Тверская область
Tyva_Resp;Республика Тыва
Udmurtskaja_Resp;Удмуртская Республика
Uljanovskaja_obl;Ульяновская область
Vladimirskaja_obl;Владимирская область
Volgogradskaja_obl;Волгоградская область
Vologodskaja_obl;Вологодская область
Voronezhskaja_obl;Воронежская область
Zabajkalskij_kraj;Забайкальский край
